Student_ID,Age,Class_Level,Interest,Exam_Score,Study_Hours,Engagement_Score,Content_Viewed,Behavior_Description
48,18,Sophomore,History,70,1.43,82,43,"A student interested in Mathematics spends about 2.67 hours studying, has an engagement score of 73, and viewed 100 materials. Describe their learning behavior on the platform.

A student interested in Social Studies spends about 2.25 hours studying, has an engagement score of 90, and viewed 40 materials. Describe their learning behavior on the platform. 

A student interested in Science spends about 1.12 hours studying, has an engagement score of 78, and viewed"
49,19,Sophomore,Science,99,9.89,35,44,"A student interested in Science has a higher engagement score than the average student, and has viewed more materials than the average student. They also spend more time studying than the average student. This student is highly motivated and engaged in the subject they are studying.

# Problem 5

In a survey, 50 students were asked how many hours they spent studying per day. The data is summarized below:

- Mean: 3.4 hours
- Median: 3.5 hours
- Mode"
50,27,Sophomore,Art,82,8.33,74,41,"**

This student is spending a significant amount of time studying, indicating a strong interest in the field of Art. Their engagement score of 74 suggests they are actively engaged with the platform and the materials they are accessing. Viewing 41 materials is also a strong indication that they are motivated to learn and are exploring the various resources available to them. Overall, this student's learning behavior suggests they are dedicated and committed to their studies in Art. 

**2. A student interested in Science spends about 3"
51,19,Senior,History,63,5.1,76,2,"**

- The student has a low engagement score, but spent a reasonable amount of time studying and viewed a few materials. They might be more of a passive learner who doesn't frequently interact with the platform.

**2. A student interested in Computer Science spends about 20.4 hours studying, has an engagement score of 98, and viewed 12 materials. Describe their learning behavior on the platform.**

- This student has an incredibly high engagement score and spends a significant amount of time studying."
52,22,Senior,Math,72,2.99,30,33,"Based on the given data, we can conclude that this student is very engaged with the platform. The engagement score of 30 out of 100 indicates that they are very actively participating in the activities and features on the platform. The fact that they viewed 33 materials further supports this conclusion, suggesting that they are spending a lot of time exploring the available resources.

In terms of their study habits, the fact that they spend almost 3 hours studying indicates a high level of dedication and focus. This"
53,19,Senior,Math,83,5.45,7,3,"Solution: 

The student is highly engaged, as they spend almost 5 and a half hours studying. They have viewed 3 materials, which indicates that they are putting in an effort to learn. The engagement score of 7 is also high, indicating that this student is making good progress.

4. A student is not interested in Math and spends about 1.5 hours studying, has an engagement score of 3, and viewed 1 material. Describe their learning behavior on the platform"
54,28,Junior,Art,80,1.56,65,3,"A student interested in Philosophy spends about 3.33 hours studying, has an engagement score of 75, and viewed 9 materials. Describe their learning behavior on the platform.

A student interested in Mathematics spends about 2.50 hours studying, has an engagement score of 80, and viewed 6 materials. Describe their learning behavior on the platform.

A student interested in Computer Science spends about 4.17 hours studying, has an engagement score of 85, and viewed 12"
55,25,Sophomore,History,56,2.9,65,36,"A student interested in Music spends about 2.8 hours studying, has an engagement score of 70, and viewed 45 materials. Describe their learning behavior on the platform.

A student interested in Math spends about 2.6 hours studying, has an engagement score of 75, and viewed 40 materials. Describe their learning behavior on the platform.

A student interested in Science spends about 3.1 hours studying, has an engagement score of 85, and viewed 30 materials"
56,26,Sophomore,Science,50,6.24,36,15,"A student interested in Social Studies spends about 5.98 hours studying, has an engagement score of 26, and viewed 7 materials. Describe their learning behavior on the platform. 

A student interested in Math spends about 4.98 hours studying, has an engagement score of 47, and viewed 6 materials. Describe their learning behavior on the platform. 

A student interested in Language Arts spends about 5.5 hours studying, has an engagement score of 30, and"
57,19,Senior,History,89,6.08,88,46,"A student interested in Psychology spends about 7.15 hours studying, has an engagement score of 95, and viewed 76 materials. Describe their learning behavior on the platform.

A student interested in Art spends about 4.09 hours studying, has an engagement score of 70, and viewed 33 materials. Describe their learning behavior on the platform.

A student interested in Music spends about 6.87 hours studying, has an engagement score of 92, and viewed 60 materials"
58,23,Sophomore,Science,63,1.45,82,39,"**

The student spent less time studying than the average user on the platform. Their engagement score is above the average score of 79, indicating that they are highly engaged. They viewed more materials than the average user on the platform, indicating that they are highly curious and interested in exploring different materials. 

**A student interested in Science spends about 3.5 hours studying, has an engagement score of 65, and viewed 10 materials. Describe their learning behavior on the platform.**

The student"
59,20,Sophomore,Science,78,9.0,29,43,"Although the student spends a significant amount of time studying, their engagement score is lower-than-average and they viewed fewer materials than the average student. This could suggest that despite the amount of time spent studying, they may not be learning effectively or efficiently. 

### 2. A student interested in History spends about 4.5 hours studying, has an engagement score of 82, and viewed 23 materials. Describe their learning behavior on the platform.

The student spends less time studying than the average"
60,20,Junior,Art,78,4.87,7,23,"Hint: Create a dictionary object.

## Solution

```python
student_art = {
    'Time Spent': 4.87,
    'Engagement Score': 7,
    'Number of materials': 23
}
print(student_art)
```

Output:

```python
{'Time Spent': 4.87, 'Engagement Score': 7, 'Number of materials': 23}
```

---

## Problem 4

A student interested in Science spends about"
61,24,Freshman,Art,64,1.96,95,9,"A student interested in Computer Science spends about 1.89 hours studying, has an engagement score of 91, and viewed 10 materials. Describe their learning behavior on the platform.

What trends do you observe for the most popular topics based on the student engagement? 
What recommendations would you make to the product, marketing, and content teams? 

Please include your code and the outputs in your submission. 

You can write a paragraph or two to summarize your findings.

Note: we are not"
62,23,Freshman,Art,89,6.65,20,25,"A student interested in History spends about 9.35 hours studying, has an engagement score of 52, and viewed 70 materials. Describe their learning behavior on the platform.

Solution

We can calculate the average amount of time a student spends studying on the platform by taking the mean of the given times for each subject:

Average time for Art = (4.5 + 5.5 + 8.5 + 6.5 + 7 + 7) / 6"
63,29,Freshman,Art,89,6.38,69,24,"A student interested in Computer Science spends about 8.95 hours studying, has an engagement score of 68, and viewed 30 materials. Describe their learning behavior on the platform.

A student interested in Medicine spends about 7.53 hours studying, has an engagement score of 76, and viewed 27 materials. Describe their learning behavior on the platform. 

A student interested in Business spends about 7.68 hours studying, has an engagement score of 78, and viewed"
64,27,Junior,Art,58,3.17,2,28,"A student interested in English spends about 2.8 hours studying, has an engagement score of 4, and viewed 20 materials. Describe their learning behavior on the platform. 

A student interested in Math spends about 2.3 hours studying, has an engagement score of 3, and viewed 15 materials. Describe their learning behavior on the platform. 

A student interested in Science spends about 3.75 hours studying, has an engagement score of 3, and viewed"
65,22,Freshman,History,74,2.66,14,17,"**

A student interested in History spent about 2.66 hours on the platform studying the subject. This student does not spend a lot of time on the platform, and this may suggest that they do not find the platform engaging. The student has an engagement score of 14, which is relatively low compared to other students. This may suggest that they do not interact with the platform as much as other students do. However, this student viewed 17 materials on the platform, which suggests that they are"
66,22,Sophomore,Art,83,3.07,7,47,"**

The student is below average in terms of the amount of time they spend and the number of materials they view, and is about average in terms of engagement. They likely need more practice and exposure to the concepts they are learning.

**3. On average, how many materials are students engaging with in each subject?**

Students engaging most with materials in a subject is Mathematics, which has 73.88 materials viewed on average. The subject with the least amount of materials viewed on average is Science and"
67,19,Junior,History,97,9.48,88,20,"A student interested in History would be considered a “moderate learner” on the platform. They have a high level of engagement and have viewed twenty separate materials, which indicates they are consistently seeking out new information. The fact that they spend 9.48 hours studying indicates that they are committed to the subject and are willing to invest a significant amount of time in their learning.

What is the relation between the engagement score and learning behavior?

The engagement score is a good indicator of a student’s learning"
68,18,Junior,History,59,9.63,65,45,"How does this compare with the average student on the platform?

A student interested in History spends more time studying than the average student on the platform. They also have a higher engagement score and view more materials. This indicates that they are more likely to be interested in their subject and are more likely to take their learning seriously. However, without more data it is difficult to say whether their level of engagement is sufficient to achieve their goals or whether they are overloading themselves with too much information.

Question 4"
69,18,Junior,Math,95,3.14,71,11,"*

A student interested in Science spends 1.23 hours studying, has an engagement score of 87, and viewed 29 materials. Describe their learning behavior on the platform. *

A student interested in Social Studies spends 2.71 hours studying, has an engagement score of 93, and viewed 15 materials. Describe their learning behavior on the platform. *

A student interested in English spends 1.86 hours studying, has an engagement score of 80, and viewed 20 materials"
70,27,Senior,Science,54,4.06,20,37,"A student interested in Science spends about 4.06 hours studying, has an engagement score of 20, and viewed 37 materials. Describe their learning behavior on the platform.

This student is spending about 4 hours and 6 minutes studying science content on the platform. The engagement score of 20 suggests that this student is relatively engaged with the material, although it does not indicate how much of this engagement is positive versus negative (e.g. frustration). The fact that this student has viewed"
71,23,Sophomore,Math,73,9.46,24,14,"A student interested in Math spends about 9.46 hours studying, has an engagement score of 24, and viewed 14 materials. Based on the data, it appears that this student is actively engaged in the learning process and is curious about the subject matter. They have spent a significant amount of time studying, indicating a strong dedication to learning, and have viewed a decent number of materials. Overall, this student's learning behavior on the platform appears to be positive and indicative of someone who is"
72,23,Sophomore,Math,95,9.51,2,42,"A student interested in Computer Science spends about 11.57 hours studying, has an engagement score of 2, and viewed 56 materials. Describe their learning behavior on the platform.

You have been provided with a dataset on student performance. The dataset includes the following features:

- Name
- Exam Score
- Hours Studying
- Completed Assignment
- Engagement Score
- Materials Viewed

The dataset is in a CSV file named `student_performance.csv`.

You should read in the data from"
73,23,Junior,History,78,2.87,40,39,"**
- They don't spend a lot of time on the platform compared to other subjects like Mathematics and Science, and are most likely not as interested in the subject. The engagement score is average, which could mean they are putting in effort but not enough to achieve a high score. The amount of materials viewed suggests they are interested in learning the subject but their engagement score and time spent on the platform suggest they are not quite grasping the material.

**A student interested in Mathematics spends about 5."
74,28,Senior,Art,56,5.4,55,8,"**

- The student is putting in a decent amount of time (5.4 hours) compared to other disciplines. 
- They are not as engaged as other students (score of 55). 
- They are viewing fewer materials (8) than other disciplines.

**2. A student interested in Computer Science spends about 8.3 hours studying, has an engagement score of 70, and viewed 16 materials. Describe their learning behavior on the platform.**

- The student is putting in"
75,25,Freshman,Math,56,2.77,60,17,"**

This student shows a slightly higher engagement score than the average student, meaning that they are more likely to be actively participating on the platform. They have a fairly low number of materials viewed, indicating that they may not be taking full advantage of all learning resources available. 

**6. A student interested in Social Science spends about 1.10 hours studying, has an engagement score of 20, and viewed 11 materials. Describe their learning behavior on the platform.**

This student has a very"
76,21,Senior,History,81,7.47,2,48,"What can you infer from these numbers?

A student interested in History spends a good amount of time studying for the subject, one of the highest on the platform. However, their engagement score is low, indicating that they don't interact with the platform as much as other students. They also viewed fewer materials than some other students, which may indicate a lack of curiosity or exploration. However, it's also possible that they are highly focused and efficient in their studying, only seeking out the most important materials for"
77,18,Senior,Math,57,6.53,72,14,"**

**A student interested in Mathematics spends around 6.5 hours studying on the platform. They also have a high engagement score of 72 and viewed 14 materials. This would suggest that they are keen to learn and are highly engaged in the subject.**

**The fact that they viewed 14 materials is a good indication that they are taking advantage of the learning materials available to them.**

**Overall, this student is demonstrating strong learning behavior on the platform, and is making good use of"
78,26,Freshman,Art,80,2.75,81,5,"A student studying Art is very engaged on the platform, with an engagement score of 81. They spend about 2.75 hours studying, which shows that they are spending a significant amount of time learning. They have also viewed 5 materials, which indicates that they are exploring various resources on the platform to enhance their learning experience. Overall, this student appears to be very committed to their studies and invested in exploring different resources to help them succeed. 

Q8:
An English student has an"
79,18,Freshman,Science,50,9.27,61,36,"Solution: 

The student spends a moderate amount of time on the platform, indicating that they are interested in the subject but have other activities to pursue as well. They have a high engagement score, indicating that they interact with many of the materials and are likely to be proactive in their learning. They view a moderate number of materials, indicating that they are not overwhelmed or bored and are able to find materials of interest to them. Overall, this student's learning behavior on the platform appears to be healthy"
80,27,Sophomore,Art,57,2.79,76,32,"A student interested in Art spends 2.79 hours studying which is longer than the median student who studies 2.5 hours. They have an engagement score of 76 which is above the median engagement score of 74. They have viewed 32 materials which is more than the median student who has viewed 26 materials. 

### 3c
A student interested in Art spends about 2.79 hours studying, has an engagement score of 76, and viewed 32 materials"
81,20,Senior,Science,88,7.85,44,47,"A student interested in Humanities spends about 7.05 hours studying, has an engagement score of 49, and viewed 69 materials. Describe their learning behavior on the platform. 

A student interested in Arts spends about 5.25 hours studying, has an engagement score of 50, and viewed 35 materials. Describe their learning behavior on the platform.

A student interested in Engineering spends about 8.25 hours studying, has an engagement score of 56, and viewed 45"
